Disease_Name_English,Disease_Name_Spanish,Diagnosis,Treatments,Tests,Medications_Drugs
Pyoderma gangrenosum,Pyoderma gangrenosum,Diagnosis is primarily based on clinical presentation and ruling out other conditions with similar symptoms.  No single test confirms pyoderma gangrenosum.  A skin biopsy may be used to help rule out other conditions.,"Corticosteroids; Wound care; Surgery (skin graft for large, non-healing sores);  Steroid-sparing medicines; Pain medication",Blood tests; Chest X-ray; Colon exam; Skin biopsy,Prednisone; Cyclosporine; Mycophenolate (Cellcept); Immunoglobulins; Dapsone; Infliximab (Remicade); Tacrolimus (Protopic)
Rabies,Rabies,"There is no definitive test to immediately determine if rabies has been transmitted after a bite.  Many tests may be ordered to detect the virus, but confirmation may require repeated testing. Diagnosis often relies on the circumstances of exposure and the animal's status.","Rabies immune globulin (given near bite site if not previously vaccinated); Series of rabies vaccinations (four injections over 14 days if unvaccinated, two injections over three days if previously vaccinated). Observation of the biting animal for 10 days (if a pet) to see if it develops symptoms.",Tests to detect the rabies virus; Animal testing for rabies virus (brain tissue analysis).,Rabies immune globulin; Rabies vaccinations.
Radiation enteritis,Radiation enteritis,"Diagnosis begins with a review of medical history and physical exam.  Imaging tests such as X-rays, CT scans, and MRI scans may be used; endoscopy (including colonoscopy and capsule endoscopy) may be used to visualize the intestines.",Dietary changes; Medications for diarrhea and pain; Antibiotics; Feeding tube; Surgery (to bypass irritated intestine),Endoscopy; Colonoscopy; Capsule endoscopy; X-rays; CT scan; MRI scan,Antibiotics
Radiation sickness,Radiation sickness,"Diagnosis involves determining the absorbed radiation dose based on known exposure (distance from source, duration), onset and severity of symptoms (e.g., vomiting time), blood tests (white blood cell counts, DNA changes in blood cells), dosimeter readings (if available), and survey meter results to identify radioactive particle location and type of radiation.","Decontamination (removing clothing, washing); Treatment for damaged bone marrow (granulocyte colony-stimulating factor, blood transfusions); Treatment for internal contamination (potassium iodide, Prussian blue, DTPA); Supportive treatment for infections, headache, fever, diarrhea, nausea/vomiting, dehydration, burns, sores/ulcers; End-of-life care (pain management, psychological/pastoral care)","Blood tests; Dosimeter; Survey meter (e.g., Geiger counter)",filgrastim (Neupogen); sargramostim (Leukine); pegfilgrastim (Neulasta); potassium iodide; Prussian blue (Radiogardase); Diethylenetriamine pentaacetic acid (DTPA)
Ramsay Hunt syndrome,Ramsay Hunt syndrome,"Diagnosis is based on medical history, physical exam, and characteristic signs and symptoms;  Confirmation may involve testing a fluid sample from a rash blister.","Antiviral drugs; Corticosteroids; Anti-anxiety medications; Pain relievers; Keeping the rash clean; Applying cool, wet compresses; Using over-the-counter pain relievers or anti-inflammatory drugs; Using moisturizing eyedrops and applying ointment/eye patch if facial weakness affects eye closure.",Fluid sample from rash blister,"acyclovir (Zovirax); famciclovir (Famvir); valacyclovir (Valtrex); prednisone; diazepam (Valium); ibuprofen (Advil, Motrin IB)"
Raynaud's disease,Raynaud's disease,"Diagnosis is based on symptoms and medical history, and a physical exam; additional tests may rule out other conditions causing similar symptoms. Nailfold capillaroscopy can differentiate between primary and secondary Raynaud's.","Dressing warmly in layers and wearing gloves or socks; Medications; Nerve surgery; Chemical injection (numbing medicine or onabotulinumtoxinA); Lifestyle modifications (avoiding smoking, managing stress, avoiding rapid temperature changes, regular exercise).",Nailfold capillaroscopy; Antinuclear antibodies (ANA) test; Erythrocyte sedimentation rate; Blood tests to rule out other conditions affecting blood vessels,"nifedipine (Procardia); amlodipine (Norvasc); felodipine; isradipine; losartan (Cozaar); sildenafil (Viagra, Revatio); fluoxetine (Prozac); prostaglandins; fish oil supplements; ginkgo supplements."
Reactive arthritis,Reactive arthritis,"Physical exam checking joints for swelling, warmth, tenderness, and range of motion;  eye examination for inflammation; skin examination for rashes; assessment of past or current infection evidence, inflammation signs, antibodies associated with other arthritis types, and a genetic marker linked to reactive arthritis via blood tests; joint fluid analysis for white blood cell count, infections, and crystals; X-rays of the low back, pelvis, and joints to identify characteristic signs and rule out other arthritis types.",Antibiotics (if persistent infection present); Nonsteroidal anti-inflammatory drugs (NSAIDs); Steroid injections; Steroid eye drops; Steroid creams; Sulfasalazine; Methotrexate; Etanercept; Physical therapy,Blood tests; Joint fluid tests; X-rays,Indomethacin; Sulfasalazine; Methotrexate; Etanercept
Reactive attachment disorder,Reactive attachment disorder,"A pediatric psychiatrist or psychologist conducts a thorough examination, including direct observation of child-caregiver interactions, behavioral pattern assessment across various situations, and information gathering on home environment and caregiving styles.  The DSM-5 criteria are used, considering a consistent pattern of emotionally withdrawn behavior, persistent social and emotional problems, and lack of emotional needs met by caregivers; other disorders (intellectual disability, adjustment disorders, autism spectrum disorder, depressive disorders, PTSD) are ruled out. Diagnosis is typically not made before 9 months of age.","Early intervention;  a safe and stable living situation; development of positive interactions and strengthened attachment with parents/caregivers; education and coaching in skills to improve symptoms; nurturing, responsive and caring environment; consistent caregivers; positive, stimulating, and interactive environment; addressing medical, safety, and housing needs; individual and family psychological counseling; education of parents/caregivers; parenting skills classes.",Information not found,Information not found
Rectal cancer,Rectal cancer,"Rectal cancer diagnosis often begins with imaging tests (e.g., colonoscopy) to visualize the rectum and colon.  A biopsy is performed to obtain a tissue sample for lab testing to confirm the presence of cancer cells.  Diagnosis may also be suspected based on patient symptoms.  Staging tests determine the extent of cancer spread.","Surgery (transanal local excision, low anterior resection, colorectal anastomosis, coloanal anastomosis, abdominoperineal resection [APR], colostomy); Chemotherapy; Radiation therapy (external beam radiation); Targeted therapy; Combined chemotherapy and radiation therapy","Colonoscopy; Biopsy; Complete blood count (CBC); Blood tests to measure organ function (chemistry panel); Carcinoembryonic antigen (CEA) test; CT scan of chest, abdomen, and pelvis; MRI of the pelvis",Information not found
Rectal prolapse,Rectal prolapse,"Distinguishing rectal prolapse from hemorrhoids can be difficult. Diagnosis involves a digital rectal exam to assess sphincter muscle strength and check for rectal prolapse (patient bears down during exam); anal manometry to measure anal sphincter tightness and rectal function; and colonoscopy to rule out other conditions like hemorrhoids, polyps, or colon cancer. Defecography (with X-ray or MRI) may be used to visualize structural changes in the lower digestive tract and assess rectal muscle function.",Surgery; Treatment for constipation with stool softeners and suppositories,Digital rectal exam; Anal manometry; Colonoscopy; Defecography,Stool softeners; Suppositories
Rectovaginal fistula,Rectovaginal fistula,"Diagnosis involves a physical exam to locate the fistula and check for tumors, infections, or abscesses; this may include visual inspection of the vagina, anus, and perineum, using tools like a speculum and proctoscope; a biopsy may be taken if cancer is suspected.  If not readily visible, further tests may be necessary.","Waiting (3-6 months to allow for spontaneous closure); Seton placement (drainage); Surgery (fistula removal, tissue graft, anal sphincter repair, colostomy);  Antibiotics; Infliximab",Physical exam; Biopsy; CT scan; MRI; Colonoscopy; Exam under anesthesia; Barium enema (implied),Antibiotics; Infliximab (Remicade)
Recurrent breast cancer,Recurrent breast cancer,"Suspicion of recurrent breast cancer may arise from mammogram, physical exam, or signs/symptoms.  Confirmation requires biopsy to examine cells and determine cancer type and hormone/targeted therapy sensitivity.","Surgery (lumpectomy, mastectomy, lymph node removal); Radiation therapy; Chemotherapy; Hormone therapy; Targeted therapy; Immunotherapy (for triple-negative breast cancer); Bone-building drugs",Mammogram; MRI; CT scan; X-ray; Bone scan; Positron emission tomography (PET) scan; Biopsy,Information not found
REM sleep behavior disorder,REM sleep behavior disorder,"Diagnosis involves reviewing medical history and symptoms; physical and neurological exam to rule out other sleep disorders;  interviewing the sleeping partner about observed behaviors; and a nocturnal sleep study (polysomnogram) to monitor physiological activity and behavior during sleep, confirming increased muscle activity during REM sleep and excluding other sleep disorders. Diagnostic criteria include repeated arousals with talking, noises, or complex motor behaviors related to dream content; dream recall associated with these behaviors; alertness upon awakening; increased muscle activity during REM sleep on polysomnography; and exclusion of other sleep disorders, mental health conditions, medications, or substance abuse.","Physical safeguards (padding the floor, removing dangerous objects, placing barriers on the bed, moving furniture); Medications",Physical and neurological exam; Nocturnal sleep study (polysomnogram),Melatonin; Clonazepam (Klonopin)
Renal artery stenosis,Renal artery stenosis,"Physical exam (auscultation over kidneys); Review of medical history; Blood and urine tests (kidney function and hormone levels).  Imaging tests may include Doppler ultrasound, CT scan (with possible contrast injection), magnetic resonance angiography (MRA, with contrast injection), and renal arteriography (with contrast injection, often used before stent placement).","Lifestyle changes (diet, exercise, weight management, smoking cessation); Medication; Renal angioplasty and stenting; Renal artery bypass surgery",Physical exam; Blood tests; Urine tests; Doppler ultrasound; CT scan; Magnetic resonance angiography (MRA); Renal arteriography,ACE inhibitors; Angiotensin II receptor blockers (ARBs); Diuretics; Beta blockers; Alpha-beta blockers; Calcium channel blockers; Aspirin; Cholesterol-lowering medication
Residual limb pain,Residual limb pain,"Diagnosis involves identifying the cause of residual limb pain through a physical exam checking for skin or bone issues, infection, and lumps; imaging tests (MRI, CT, X-ray, ultrasound) to rule out bone breaks, bruises, tumors, infections, or other bone problems; and blood tests to rule out other potential causes.","Pain relievers; Antidepressants; Anticonvulsants; N-methyl-D-aspartic acid agonists; Physical and occupational therapy; Compression garments; Massage; Hypnosis; Nerve blocks; Neuromodulation (SCS, PNS, TENS); Osseointegration; Regenerative peripheral nerve interface (RPNI)",Physical exam; MRI; CT scan; X-ray; Ultrasound; Blood tests,Acetaminophen; Ibuprofen; Naproxen sodium; Opioids; Tricyclic antidepressants; Selective norepinephrine reuptake inhibitors; Gabapentin; Pregabalin; Topical ketamine
Respiratory syncytial virus (RSV),Respiratory syncytial virus (RSV),"Diagnosis is primarily based on physical examination findings (listening to the lungs for wheezing), the timing of symptoms, and consideration of the time of year.  Laboratory and imaging tests are usually not necessary but may be used to diagnose complications or rule out other conditions.","Supportive care (acetaminophen for fever, nasal saline drops and suctioning, plenty of fluids); Hospital care (IV fluids; humidified oxygen; mechanical ventilation in rare cases); Antibiotics (if bacterial complication).",Blood tests; Chest X-rays; Swab of secretions from the mouth or nose; Pulse oximetry,Acetaminophen
Restless legs syndrome,Restless legs syndrome,"Diagnosis is based on the International Restless Legs Syndrome Study Group criteria: strong urge to move legs with uncomfortable sensations, symptoms worsening at rest and improving with activity, worse at night, symptoms not explained by another condition; a physical and neurological exam are conducted.",Correcting iron deficiency (oral or intravenous iron supplements); electrical nerve stimulation; lifestyle changes; medication,Blood tests (for iron deficiency),Gabapentin; gabapentin enacarbil; pregabalin; rotigotine; pramipexole; ropinirole; carbidopa-levodopa; oxycodone; hydrocodone; buprenorphine
Retinal detachment,Retinal detachment,"Retinal detachment is diagnosed through a retinal exam using an instrument with a bright light and special lenses to visualize the retina for holes, tears, or detachments; ultrasound imaging may be used if bleeding obscures the retina.  Both eyes are typically examined even if symptoms are present in only one.  A follow-up visit may be necessary to rule out delayed retinal tears.","Laser surgery (laser photocoagulation or retinopexy); Freezing (cryopexy); Pneumatic retinopexy (air or gas injection into the vitreous cavity); Scleral buckling (silicone implant to indent the eye); Vitrectomy (removal of vitreous and potentially replacement with air, gas, or silicone oil).",Retinal exam; Ultrasound imaging,Information not found
Retinal diseases,Retinal diseases,Ophthalmologist performs a thorough eye exam looking for irregularities; Amsler grid test assesses central vision clarity and distortion; location and extent of disease determined by various tests.,Laser surgery; Scatter laser photocoagulation; Cryopexy; Pneumatic retinopexy; Scleral buckling; Vitrectomy; Injecting medicine into the eye; Implanting a retinal prosthesis,Amsler grid test; Optical coherence tomography (OCT); Fundus autofluorescence (FAF); Fluorescein angiography; Indocyanine green angiography; Ultrasound; CT; MRI,Information not found
Retinoblastoma,Retinoblastoma,"Diagnosis begins with a thorough eye exam, potentially involving vision testing and using a special light to examine the inside of the eye; imaging tests (ultrasound, MRI, CT scan) help determine cancer size and extent.  Genetic testing analyzes the RB1 gene for variations.","Chemotherapy (systemic, intra-arterial, intravitreal); Cold therapy (cryotherapy); Laser therapy (transpupillary thermotherapy); Radiation therapy (plaque radiotherapy; external beam radiation); Eye removal surgery (enucleation)",Eye exam; Ultrasound; MRI; CT scan; Genetic testing (RB1 gene analysis),Information not found
Retractile testicle,Retractile testicle,"The doctor will locate the testicle in the groin and attempt to gently guide it into the scrotum.  A retractile testicle will move relatively easily and will not immediately retract; in contrast, an undescended testicle will immediately retreat to its original location.  Annual evaluations monitor changes in testicle position.  A pediatric urologist may be consulted if there is any question about the diagnosis or need for immediate treatment.",No treatment is required for retractile testicles; annual monitoring of testicle position.,Physical examination,Information not found
Retrograde ejaculation,Retrograde ejaculation,"A physical exam including examination of the penis, testicles, and rectum; questioning about symptoms, medical history, surgeries, cancers, and medications; urinalysis to check for semen in the urine after orgasm.  High sperm volume in urine confirms retrograde ejaculation; absence of semen suggests a problem with semen production.",Medications to keep the bladder neck muscle closed during ejaculation; assisted reproductive technology (ART) including intrauterine insemination (IUI) or more advanced techniques if medication is ineffective.,Urinalysis,Imipramine; Midodrine; Chlorpheniramine; Brompheniramine; Ephedrine; Pseudoephedrine; Phenylephrine
Rett syndrome,Rett syndrome,"Diagnosis involves observing child's growth and development, reviewing medical and family history, and ruling out other conditions with similar symptoms (e.g., other genetic disorders, autism spectrum disorder, cerebral palsy).  Core symptoms of classic Rett syndrome include partial or complete loss of purposeful hand skills; partial or complete loss of spoken language; walking problems; and repetitive purposeless hand movements. Genetic testing (DNA analysis for MECP2 gene changes) confirms diagnosis.  Atypical Rett syndrome has similar symptoms with varying severity.","Regular medical care; Medications; Physical therapy; Assistive devices (walker, wheelchair); Occupational therapy; Speech-language therapy; Nutritional support (including gastrostomy tube feeding); Behavioral intervention; Support services (early intervention programs, school, social, and job training services)",Blood tests; Urine tests; Magnetic resonance imaging (MRI); Computerized tomography (CT) scans; Hearing tests; Eye and vision exams; Electroencephalograms (EEGs),Information not found
Reye's syndrome,Reye's syndrome,"There is no specific test to diagnose Reye's syndrome. Diagnosis is usually based on clinical findings, including blood and urine tests, and often involves ruling out other conditions with similar symptoms through additional testing.  Fatty acid oxidation disorders and other disorders may also be tested for.",Intravenous (IV) fluids; Diuretics; Vitamin K; Plasma; Platelets; Cooling blankets; Ventilator,Blood test; Urine test; Spinal tap (lumbar puncture); Liver biopsy; CT scan; MRI,Vitamin K; Diuretics
Rhabdomyosarcoma,Rhabdomyosarcoma,"Diagnosis begins with a physical exam.  Further tests may include imaging tests (X-rays, CT scans, MRI scans, PET scans, bone scans) and a biopsy (needle biopsy or surgical biopsy) to obtain a tissue sample for pathological examination.  The biopsy needs to be performed carefully to avoid compromising future surgery.",Surgery; Chemotherapy; Radiation therapy; Clinical trials,X-rays; CT scans; MRI scans; PET scans; Bone scans; Needle biopsy; Surgical biopsy,Information not found
Rheumatic fever,Rheumatic fever,"Diagnosis is based on medical history, physical exam, and results of specific tests;  there is no single test for rheumatic fever.  Tests assess inflammation and the presence of antibodies related to strep bacteria.",Treat the infection; Ease symptoms; Control inflammation; Prevent recurrence; Bed rest (as recommended); Activity restrictions (until symptoms improve),"Blood tests (CRP, ESR, antibody tests); Electrocardiogram (ECG or EKG); Echocardiogram",Penicillin; Other antibiotics; Aspirin; Naproxen; Corticosteroids; Valproic acid; Carbamazepine
Rheumatoid arthritis,Rheumatoid arthritis,"Physical exam checking joints for swelling, redness, and warmth; checking reflexes and muscle strength; blood tests for ESR, CRP, rheumatoid factor, and anti-CCP antibodies; X-rays to track joint changes; MRI and ultrasound to assess disease severity.  Early diagnosis can be difficult due to overlapping symptoms with other conditions.","Disease-modifying antirheumatic drugs (DMARDs); NSAIDs; Steroids; Physical therapy; Surgery; Lifestyle modifications (exercise, heat/cold application, stress reduction, smoking cessation).","Blood tests (ESR, CRP, rheumatoid factor, anti-CCP antibodies); X-ray; MRI; Ultrasound",ibuprofen; naproxen sodium; prednisone; methotrexate; leflunomide; hydroxychloroquine; sulfasalazine; abatacept; adalimumab; anakinra; certolizumab; etanercept; golimumab; infliximab; rituximab; sarilumab; tocilizumab; baricitinib; tofacitinib; upadacitinib; fish oil (supplement).
Rickets,Rickets,"Physical exam assessing bone irregularities (skull softness, bowed legs, chest deformities, thickened wrists/ankles); X-rays of affected bones to reveal deformities; blood and urine tests to confirm diagnosis and monitor treatment progress.  In infants, assessment of growth, breathing, and muscle tone is also considered.",Vitamin D and calcium supplements; bracing for bowleg or spinal deformities; surgery for more serious skeletal deformities; phosphorus supplements and medications for rare inherited disorders causing low phosphorus.,X-rays; Blood tests; Urine tests,Information not found
Ringworm (body),Ringworm (body),Visual examination by a doctor; Skin scraping examination under a microscope.,"Over-the-counter antifungal lotions, creams, or ointments; Prescription-strength antifungal lotions, creams, or ointments; Prescription antifungal pills.",Skin scraping examination,clotrimazole (Lotrimin AF); terbinafine (Lamisil AT)
Ringworm (scalp),Ringworm (scalp),Visual examination of the affected skin; Questions about symptoms; Microscopic examination of a hair or skin sample to identify fungus.,Oral prescription-strength antifungal medication; Medicated shampoo.,Microscopic examination of hair or skin sample,"griseofulvin (Gris-Peg); terbinafine; itraconazole (Sporanox, Tolsura)"
Rosacea,Rosacea,"Clinical examination of the skin by a doctor or healthcare professional, assessing symptoms and ruling out other conditions like psoriasis or lupus;  Symptoms may be less visible on brown and Black skin, requiring attention to swelling, bumps, stinging, and dry skin.  Eye examination by an ophthalmologist if eye symptoms are present.","Prescription gel or cream; Prescription pills; Laser treatment; Self-care tips (avoiding triggers, sun protection, gentle skin care); Makeup to reduce redness; Massage; Stress management.",Information not found,"Brimonidine (Mirvaso); Oxymetazoline (Rhofade); Azelaic acid (Azelex, Finacea); Metronidazole (Metrogel, Noritate); Ivermectin (Soolantra); Doxycycline (Oracea); Isotretinoin (Amnesteem, Claravis)."
Roseola,Roseola,"Roseola is often diagnosed based on characteristic symptoms, which are initially similar to other childhood illnesses like measles.  A rash, typically starting on the chest or back (differing from a measles rash that begins on the head), is a key indicator.  Blood tests may be used for confirmation.","Supportive care including rest, fluids, and cool compresses to manage fever;  For immunocompromised individuals, ganciclovir may be prescribed.",Blood test,Acetaminophen; Ibuprofen; Ganciclovir
Rotator cuff injury,Rotator cuff injury,"Physical exam assessing shoulder palpation, range of motion, and muscle strength; imaging tests (X-ray, ultrasound, MRI) to visualize bone spurs, arthritis, and soft tissue structures.",Rest; Ice; Physical therapy; Injection into shoulder joint; Arthroscopic rotator cuff repair; Open tendon repair; Tendon transfer; Shoulder replacement; Reverse shoulder arthroplasty,Physical examination; X-ray; Ultrasound; Magnetic resonance imaging (MRI),Information not found
Rotavirus,Rotavirus,Often diagnosed based on symptoms and physical exam; stool sample analysis may be used to confirm diagnosis.,Preventing dehydration; oral rehydration fluids (Pedialyte or Enfalyte); intravenous fluids (for severe dehydration); bland foods; plenty of liquids; rest.  Anti-diarrheal medications are not recommended.,Stool sample analysis,None specifically recommended; antibiotics and antivirals are ineffective.
Rubella,Rubella,"Rubella is usually confirmed with lab tests, such as virus culture or blood tests to detect rubella antibodies, indicating recent or past infection or vaccination.  The rubella rash can resemble other viral rashes.","Isolation from others (especially pregnant women) for at least seven days after the rash disappears; Supportive care (bed rest, acetaminophen for fever and aches)",Virus culture; Blood test (for rubella antibodies),Acetaminophen; Ibuprofen
Rumination syndrome,Rumination syndrome,Clinical evaluation of symptoms and medical history; observation of behavior; sometimes high-resolution esophageal manometry and impedance measurement to confirm diagnosis and rule out increased abdominal pressure and irregular function.,Habit-reversal behavior therapy; Diaphragmatic breathing; Biofeedback; Environmental and behavioral changes (for infants); Medications to relax the stomach,High-resolution esophageal manometry; Impedance measurement; Upper endoscopy; Biopsy; Gastric emptying,Esomeprazole (Nexium); Omeprazole (Prilosec)
Ruptured eardrum (perforated eardrum),Ruptured eardrum (perforated eardrum),Visual inspection using an otoscope or microscope;  Additional tests may be conducted to determine the cause of symptoms or presence of hearing loss.,Most heal without treatment; Antibiotic drops (if infection present); Eardrum patch; Surgery (tympanoplasty),Laboratory tests (for ear discharge); Tuning fork evaluation; Tympanometry; Audiology exam,Antibiotic drops
Ruptured spleen,Ruptured spleen,"Diagnosis involves a physical exam assessing spleen size and tenderness; blood tests evaluating platelet count and blood clotting; and imaging (ultrasound, CT scan with or without contrast) to detect blood in the abdominal cavity or rule out other causes.  In emergency situations, abdominal fluid sampling may be performed.","Surgery (spleen repair, partial splenectomy, splenectomy); Nonsurgical care (observation, blood transfusions); Vaccinations (meningitis, pneumonia, Hib); Oral antibiotics",Physical exam; Blood tests; Ultrasound; Abdominal fluid sampling; CT scan,Daily oral antibiotics
Sacral dimple,Sacral dimple,"Physical exam during a baby's first exam.  Larger dimples or those with associated hair tufts, skin tags, lumps, or specific skin discolorations may warrant further imaging.",Treatment is unnecessary for a simple sacral dimple.,Ultrasound; Magnetic resonance imaging (MRI),Information not found
Sacroiliitis,Sacroiliitis,Physical exam with palpation of hips and buttocks to locate pain; gentle movement of legs to stress sacroiliac joints; numbing injection into sacroiliac joint to assess pain relief.  X-ray of pelvis to show joint damage; MRI to assess damage related to ankylosing spondylitis.,Sacroiliac injection (corticosteroids or numbing medicine); stretching and strengthening exercises; nonsteroidal antiinflammatory pain relievers;  radiofrequency denervation; electrical stimulation; joint fusion.,X-ray of the pelvis; MRI; CT scan; Ultrasound; Numbing injection into sacroiliac joint,ibuprofen; naproxen sodium; cyclobenzaprine; secukinumab; ixekizumab; etanercept; adalimumab; infliximab; golimumab; tofacitinib; upadacitinib; acetaminophen
Salivary gland tumors,Salivary gland tumors,"Diagnosis begins with a physical exam checking for lumps and swelling in the jaw, neck, and throat; imaging tests (MRI, CT, PET scan) pinpoint tumor location and size; a biopsy (fine-needle aspiration or core needle biopsy) determines cell type and cancer presence; further tests assess cancer spread (staging) if cancer is diagnosed.",Surgery (partial or complete salivary gland removal; lymph node removal; reconstructive surgery); Radiation therapy (external beam radiation); Chemotherapy; Targeted therapy; Immunotherapy; Palliative care,Physical exam; MRI; CT scan; PET scan; Fine-needle aspiration; Core needle biopsy,Information not found
Salmonella infection,Salmonella infection,"Diagnosis is usually based on signs and symptoms; Stool sample testing can detect Salmonella infection, but results often return after symptoms resolve; Blood sample testing may be necessary if bloodstream infection is suspected.","Adequate fluid intake to prevent dehydration; Oral rehydration solutions for severe dehydration; Anti-diarrheal medications (e.g., loperamide); Antibiotics (in specific cases such as bloodstream infection, severe infection, or weakened immune system).",Stool sample testing; Blood sample testing,Loperamide; Antibiotics
Sarcoidosis,Sarcoidosis,Sarcoidosis diagnosis is challenging due to often subtle early symptoms mimicking other conditions.  Diagnosis relies on ruling out other conditions and identifying affected body systems through various tests.  No single test definitively diagnoses sarcoidosis; a biopsy showing granulomas is supportive.,"No treatment if asymptomatic or mildly symptomatic; Corticosteroids;  Immunosuppressants; Physical therapy; Pulmonary rehabilitation; Implanted cardiac pacemaker or defibrillator; Organ transplant (lung, heart, liver)","Blood and urine tests; Chest X-ray; CT scan of the chest; Lung function tests; Electrocardiogram (ECG or EKG); Cardiac ultrasound; Eye exam; Positron emission tomography (PET) scan; Magnetic resonance imaging (MRI); Biopsy (skin, lungs, lymph nodes)","Corticosteroids; Methotrexate (Trexall); Azathioprine (Azasan, Imuran); Hydroxychloroquine (Plaquenil); Tumor necrosis factor-alpha (TNF-alpha) inhibitors"
Sarcoma,Sarcoma,"Sarcoma diagnosis begins with a physical exam and review of symptoms and health history.  Further diagnosis involves imaging tests (X-rays, MRIs, ultrasounds, CT scans, bone scans, PET scans) to determine sarcoma size and location; and a biopsy to obtain a tissue sample for lab testing. The specific tests used depend on the location and characteristics of the suspected sarcoma.","Surgery; Radiation therapy; Chemotherapy; Targeted therapy; Immunotherapy; Ablation therapy (radiofrequency ablation, microwave ablation, cryoablation, alcohol ablation)",Physical exam; X-rays; MRI; Ultrasound; CT scan; Bone scan; PET scan; Biopsy,Information not found
Scabies,Scabies,Examination of skin for mite symptoms; Skin sample microscopic analysis for mites and eggs.,Medicated cream application to the whole body (neck down) for 8-14 hours;  Possible second application; Treatment of household members and close contacts; Oral medication for crusted scabies or weakened immune system; Other skin care treatments as needed.,Microscopic examination of skin sample,Permethrin cream; Sulfur cream; Ivermectin (Stromectol)
Scarlet fever,Scarlet fever,Information not found,Antibiotic prescription; Use of ibuprofen or acetaminophen for fever and throat pain; Rest; Increased fluid intake; Saltwater gargling (for older children and adults); Humidifying the air; Use of saline nasal spray; Honey (for children over 12 months); Soothing foods; Avoidance of irritants.,Throat swab; Rapid strep test; Strep throat culture,Ibuprofen; Acetaminophen
Schizoaffective disorder,Schizoaffective disorder,"Ruling out other mental health conditions and substance use/medical condition causes; physical exam to rule out other problems and check for complications; tests and screenings to rule out conditions with similar symptoms and screen for alcohol and drug use; potential imaging studies (MRI or CT scan); mental health evaluation assessing mental status, thoughts, moods, delusions, hallucinations, substance use, suicide potential, and family/personal history.","Medications; Talk therapy (individual, family, or group); Life skills training (social skills training; work rehabilitation and supported work); Hospital stay; Electroconvulsive therapy (ECT)",Physical exam; Tests to rule out conditions with similar symptoms; Alcohol and drug screenings; MRI; CT scan,Paliperidone (Invega); Other antipsychotic drugs; Mood-stabilizing medicine; Antidepressants
Schizoid personality disorder,Schizoid personality disorder,"A physical exam to rule out other medical problems;  interview with a mental health professional to discuss symptoms, medical and personal history; assessment of symptoms and behaviors consistent with diagnostic criteria.",Talk therapy (cognitive behavioral therapy); Group therapy,Information not found,Information not found
Schizophrenia,Schizophrenia,"Ruling out other mental health conditions and substance misuse; Physical exam to rule out other problems causing similar symptoms; Mental health evaluation assessing mental status, thoughts, moods, delusions, hallucinations, substance use, and potential for violence or suicide, including family and personal history; Tests and screenings to rule out conditions with similar symptoms and screen for alcohol and drug use;  Imaging studies such as MRI or CT scan may be used.",Lifelong treatment with medicines and psychosocial therapy; Hospital stay during crises; Individual therapy; Social skills training; Family therapy; Vocational rehabilitation and supported employment; Electroconvulsive therapy (ECT),Physical exam; Tests to rule out conditions with similar symptoms; Alcohol and drug use screening; MRI; CT scan,"Aripiprazole (Abilify); Asenapine (Saphris); Brexpiprazole (Rexulti); Cariprazine (Vraylar); Clozapine (Clozaril); Iloperidone (Fanapt); Lumateperone (Caplyta); Lurasidone (Latuda); Olanzapine (Zyprexa); Paliperidone (Invega); Quetiapine (Seroquel); Risperidone (Risperdal); Xanomeline and trospium chloride (Cobenfy); Ziprasidone (Geodon); Chlorpromazine; Fluphenazine; Haloperidol (Haldol); Perphenazine (Trilafon); Aripiprazole (Abilify Maintena, Abilify Asimtufii, Aristada); Fluphenazine decanoate; Haloperidol decanoate; Paliperidone (Invega Sustenna, Invega Trinza, Invega Hafyera); Risperidone (Risperdal Consta, Perseris, others); Antidepressants; Mood stabilizers; Antianxiety drugs"
Schizotypal personality disorder,Schizotypal personality disorder,"Diagnosis is based on a thorough discussion of symptoms and difficulties, personal and medical history, including past treatments.  A physical exam is performed to rule out other medical conditions; referral to a mental health professional is common.",Talk therapy (psychotherapy including cognitive behavioral therapy and supportive therapy); family therapy;  work and social activities tailored to personality style,Physical exam,Antidepressants; antipsychotics
Schwannomatosis,Schwannomatosis,"Review of personal and family medical history; physical exam;  additional tests may be needed to diagnose NF2-related, SMARCB1-related, or LZTR1-related schwannomatosis.","Surgery to remove tumors; stereotactic radiosurgery; auditory brain stem implants; cochlear implants; cancer treatment (surgery, chemotherapy, radiation therapy); pain management",Eye exam; audiometry; electronystagmography; brain stem auditory evoked response; X-rays; CT scans; MRIs; genetic tests,gabapentin; pregabalin; amitriptyline; duloxetine; topiramate; carbamazepine
Sciatica,Sciatica,"Physical exam assessing muscle strength and reflexes (e.g., walking on toes/heels, rising from squatting, lifting legs);  evaluation of pain severity and duration.","Self-care measures (rest, cold/hot packs, stretching); Medications; Physical therapy; Steroid injections; Surgery",X-ray; MRI; CT scan (may include CT myelogram); Electromyography (EMG),Ibuprofen; Naproxen sodium; Anti-inflammatories; Corticosteroids; Antidepressants; Anti-seizure medications; Opioids
